rank,trail_name,location,breadcrumbs,difficulty,rating,num_reviews,route_type,length,high,low,gmaps_link,description,photo
2,"
        Iceline Trail
    ","
    Golden, BC
","BC Rockies,Yoho National Park",Intermediate,5.0,4,Point to Point,11.7,"
    2,223","
    1,508","https://maps.google.com/?daddr=51.49835,-116.485118","<div class=""mb-1"">
        This trail begins at the youth hostel - but you are not supposed to park there unless you are a guest. There is parking available further along the road at the Takakkaw Falls parking area. Find the trail at the west side of the parking area. <br>
<br>
The trail is well built and starts climbing the east slope of The President on some great switchbacks. Most of the work is right here at the beginning. As you gain some ground, look for the excellent views of Takakkaw Falls behind you to the east. <br>
<br>
When you emerge from the forest at treeline, the views in every direction get better. You'll have plenty of time to enjoy the views as you'll be above the treeline for nearly the rest of the trail. Keep checking out the Cathedral Crags to the south, Takakkaw Falls to the east, and Yoho Glacier to the north. <br>
<br>
If it is clear enough, The President will be towering over you as well. When you curve around The President, you'll descend a little into the forest of Little Yoho Valley. Finally, cross the river on a bridge to the Alpine Club of Canada, Stanley Mitchell Hut.
    </div>",https://cdn2.apstatic.com/photos/hike/7076768_medium_1612556995.jpg
281,"
        Paint Pots Trail
    ","Golden, BC","BC Rockies,Kootenay National Park",Easy,3.0,1,Point to Point,3.8,"
    1,505","
    1,421","https://maps.google.com/?daddr=51.179349,-116.190156","<div class=""mb-1"">
        <div class=""trail-contacts"">
                <p><strong>Land Manager: </strong> <a data-gtm-id=""manager-external-link"" target=""_blank"" href=""http://www.pc.gc.ca/en/pn-np/bc/kootenay"">Parks Canada - Kootenay National Park</a></p>
    </div>    </div>",
5,"
        Alouette Mountain
    ","
    Maple Ridge, BC
","Vancouver Coast and Mountains,Vancouver Metro,Golden Ears Provincial Park",Difficult,5.0,2,Point to Point,10.0,"
    1,337","
    242","https://maps.google.com/?daddr=49.272646,-122.534714","<div class=""mb-1"">
        Start up the trail and cross a bridge before you come to a fork with the Mike Lake Trail. Continue right and you'll soon be looking up the portion of the trail also known as the Incline Trail. This is a long, straight, rocky trail. Just before the mile you'll come out onto the fire road. Turn right and follow the smooth wide fire road for awhile. Watch for the trail sign and picnic table on your right. There is a view through the tree at this point. <br>
<br>
Continue on and just after a sweeping switchback on the road watch for the trail on your right (you could continue on the fire road, which may be easier to navigate, but this shortcut is the Alouette Trail). This next portion is a steep climb with step ups and rocks at times. Emerge onto the fire road again after a short time and continue to your right. The fire road will pass through a helicopter landing area and will soon become less and less road and more and more singletrack, rocky trail. <br>
<br>
Just after mile 4, the trail turns to the right (with a trail intersecting on the left). The climb becomes more intense now with many steps ups and one small ladder. Eventually, you'll see a large rock wall to your left. The trail will soon flatten and the view will open up to an alpine forest. You'll head left and up one last climb before reaching the top of Alouette Mountain. From here, depending on the day, you'll have 360-degree views of BC with Blanshard Peak just a short distance away dominating the northern view.
    </div>",https://cdn2.apstatic.com/photos/hike/7017575_medium_1554829597.jpg
11,"
        Lake of the Hanging Glacier Trail
    ","Invermere, BC",BC Rockies,Intermediate/Difficult,5.0,2,Point to Point,7.6,"
    2,189","
    1,478","https://maps.google.com/?daddr=50.491219,-116.586996","<div class=""mb-1"">
        Lake of the Hanging Glacier Trail starts at a parking area at the end of Horsethief Creek Forest Service Road.  Despite the long forest service road drive, this is a popular trail for day hikes.<br>
<br>
Entering the beautiful fir forest, the trail climbs above Horsethief Creek. Enjoying a flat stretch in the forest, the trail then veers away from the creek for about a half mile, before returning back to run along the banks of the creek briefly. At the 1.0 mile mark, the trail again veers away from Horsethief Creek, to climb steeply to Hell Roaring Creek and cross it at the 1.5 mile mark.  After crossing Hell Roaring Creek, the trail returns to Horsethief Creek and crosses it on an amazing metal bridge at the 1.9 mile mark. The trail then follows Horsethief Creek upstream for a little over a half mile.<br>
<br>
At the 2.5 mile mark, the trail veers left/southeast to leave Horsethief Creek and come to a smaller creek that empties into Horsethief Creek. This smaller creek is the Lake of the Hanging Glacier outlet creek. The trail follows the lake's outlet creek upstream to eventually arrive at the lake.<br>
<br>
The initial mile following the lake's outlet creek is a steep forested climb, with some switchbacks to help the climb.  Throughout this climb the creek can be seen cascading down.  The climb then eases and the trail slowly emerges from the forest into alpine meadows. A lovely trail camp is passed on the right/west at the 4.3 mile mark.  Ahead, there is another rise with a neat waterfall flowing down it. Cresting the rise, The Lieutenants, the mountains behind Lake of the Hanging Glacier, begin to appear.  At the top of the rise, a large talus field is crossed to finally reach Lake of the Hanging Glacier, a very pretty, large glacial lake.  Several small glaciers flow down from the Lieutenants toward the lake, the largest being Jumbo Glacier.
    </div>",https://cdn2.apstatic.com/photos/hike/7080398_medium_1632593701.jpg
10,"
        Great Divide Trail - Kiwetinok Alternate Route
    ","
    Golden, BC
","BC Rockies,Yoho National Park",Difficult,5.0,2,Point to Point,34.4,"
    2,467","
    1,248","https://maps.google.com/?daddr=51.398238,-116.49102","<div class=""mb-1"">Resources regularly updated with the latest conditions and other information are:<br>
- GDTA website <a rel=""nofollow"" target=""_blank"" href=""http://www.greatdividetrail.com"">www.greatdividetrail.com</a><br>
- Dustin Lynx book <a rel=""nofollow"" target=""_blank"" href=""https://rmbooks.com/book/hiking-canadas-great-divide-trail-3rd-edition"">""Hiking Canada's Great Divide Trail""</a><br>
- <a rel=""nofollow"" target=""_blank"" href=""https://atlasguides.com/great-divide-trail/"">GDT App</a><br>
- Ryan Silk's <a rel=""nofollow"" target=""_blank"" href=""https://sites.google.com/ryansilk.com/maps"">GDT Map Atlas</a><br>
- <a rel=""nofollow"" target=""_blank"" href=""http://gemtrek.com"">Gem Trek maps</a></div>",https://cdn2.apstatic.com/photos/hike/7034777_medium_1555017878.jpg
6,"
        Mumm Basin Route
    ","
    Valemount, BC
","BC Rockies,Valemount,Mt. Robson Provincial Park",Intermediate,5.0,1,Point to Point,4.4,"
    2,134","
    1,652","https://maps.google.com/?daddr=53.163896,-119.132974","<div class=""mb-1"">
        Mumm Basin Route is great for day hiking if you are staying at one of the trail camps in the Berg Lake area. It can be combined with <a href=""https://www.hikingproject.com/trail/7039404/hargreaves-lake-route"">Hargreaves Lake Route</a> to make a wonderful loop from the <a href=""https://www.hikingproject.com/trail/7038998/berg-lake-trail"">Berg Lake Trail</a>. The Mumm Basin Route trailhead is on the <a href=""https://www.hikingproject.com/trail/7038998/berg-lake-trail"">Berg Lake Trail</a> at Robson Pass Trail Camp. This is well marked by a sign.<br>
<br>
Mumm Basin Route starts through the fir forest with lush undergrowth. Almost immediately, it begins to climb. As it climbs, it soon begins to follow a creek to the right of the trail. Views of the surrounding mountains, glaciers, rivers, and lakes slowly emerge as the trail climbs, and the trees shorten and thin. About 0.7 miles from the trailhead, the trail bends right to head northeast and cross into Alberta about 0.9 miles from the trailhead. By now, the trail is almost at treeline. The trees are sparser and shorter, as the trail runs through a mix of rock and trees. Here on the Continental Divide, several lakes can clearly be seen—Lake Adolphus in Alberta, Berg Lake, and several more small lakes. The head waters of Robson River in the snow-covered peaks and glaciers of the Continental Divide can be seen, as the Robson River starts its journey to the Pacific Ocean. To the north, in Alberta, the Smoky River whose waters eventually reach the Arctic Ocean, starts as the Adolphus Lake outlet stream.<br>
<br>
Mumm Basin Route continues to climb as it travels over rock now, and is marked by cairns to show the way. The trail soon bends left and crosses back into British Columbia, again on the Continental Divide, and at the trail's high point, about 1.1 miles from the trailhead.<br>
<br>
At this point, Mumm Basin Route levels off for about the next mile, as it travels through rocky meadows above treeline. A few streams are crossed and there are high peaks to the right (northwest) of the trail. The views to the left are awesome—Mt Robson, Rearguard Mountain, and many other snowy peaks; Berg Glacier, Robson Glacier, and more glaciers; Berg Lake, Adolphus Lake, and other small lakes; and in general the expansive rugged splendor of the mountains and valleys of the Continental Divide.<br>
<br>
About 2.3 miles from its trailhead, Mumm Basin Route begins to slowly descend. As it descends, it gradually re-enters the fir forest. A trail junction is soon reached. Here, Mumm Basin Route ends as it meets <a href=""https://www.hikingproject.com/trail/7039404/hargreaves-lake-route"">Hargreaves Lake Route</a> and Toboggan Falls Route.
    </div>",https://cdn2.apstatic.com/photos/hike/7038649_medium_1555089355.jpg
7,"
        David Thompson Heritage Trail
    ","
    Golden, BC
","BC Rockies,Golden",Intermediate,5.0,2,Point to Point,12.1,"
    1,614","
    1,268","https://maps.google.com/?daddr=51.715896,-116.711116","<div class=""mb-1"">The David Thompson Heritage Trail is part of a historic route from the prairies, across the Rockies, to the Columbia River and Pacific Ocean. This route was used heavily by the First Nations. In 1807, First Nations people guided David Thompson, a fur trader who extensively mapped Alberta and British Columbia, over Howse Pass and down the Blaeberry River along this route, thus opening it to the fur trade. By the second half of the 20th century though, this section from Howse Pass down the Blaeberry RIver was used only as a remote hiking trail, although it was (and is) part of the <a rel=""nofollow"" target=""_blank"" href=""http://www.greatdividetrail.com"">GDT (Great Divide Trail)</a>. However, as the Great Divide Trail Association went into a quiet period up until 2012, this trail saw little maintenance, became overgrown, and dificult to follow. Fortunately, as of September 2018, this historic David Thompson Heritage Trail has been restored to a well cleared, easy to navigate trail.</div>",https://cdn2.apstatic.com/photos/hike/7051544_medium_1555693089.jpg
9,"
        Great Divide Trail - Section C (Kananaskis Lakes to Field)
    ","
    Canmore, AB
","Southwestern Alberta,Banff National Park,Peter Loughleed Provincial Park",Difficult,5.0,1,Point to Point,213.9,"
    2,407","
    1,183","https://maps.google.com/?daddr=50.616977,-115.112681","<div class=""mb-1"">
        <ul class=""trail-sections"">
                    <li>
                <a href=""https://www.hikingproject.com/trail/7060175/great-divide-trail-gdt"">Great Divide Trail (GDT)</a>
            </li>
            </ul>
    </div>",https://cdn2.apstatic.com/photos/hike/7051850_medium_1555693757.jpg
36,"
        Brothers Creek Trail
    ","West Vancouver, BC","Vancouver Coast and Mountains,North Shore",Difficult,5.0,1,Point to Point,3.2,"
    814","
    385","https://maps.google.com/?daddr=49.355418,-123.151632","<div class=""mb-1"">
        This gorgeous trail starts sharply uphill following the Helipad.  The trail is beautiful singletrack sticking close to the Creek.  The upper half of the trail is quite steep and has a few viewpoints down to the waterfalls near the top of the creek.  The trail ends at the Brothers Creek bridge.  <br>
<br>
This trail makes a lovely technical descent if you have taken the <a href=""https://www.hikingproject.com/trail/7005039/brothers-creek-fire-road"">Brothers Creek Fire Road</a> to the top of the hill.
    </div>",https://cdn2.apstatic.com/photos/hike/7004313_medium_1554244627.jpg
38,"
        George's Way Trail
    ","Maple Ridge, BC","Vancouver Coast and Mountains,Maple Ridge,Thornhill",Intermediate,5.0,1,Point to Point,2.1,"
    289","
    247","https://maps.google.com/?daddr=49.193504,-122.51249","<div class=""mb-1"">
        George's Way is a great trail that can be used as a loop. It splits near the start - the high road (left) is Georges Way, and the low road (right) is the Pauline Clarke Trail. <br>
<br>
Expect a pretty good climb for the first third. There is a stream to cross near the split, and there is a bridge but it is almost always under water. Volunteers have put rocks across so you can save your shoes from getting wet. Watch for fallen trees as well although they are usually cleared up fairly quickly. <br>
<br>
You'll be sharing this trail with horses and other foot traffic, but sightings are rare. After about a third of the way into the trail, it starts to descend slightly, pretty much until you meet up with the <a href=""https://www.hikingproject.com/trail/7013048/thornhill-trail"">Thornhill Trail</a>. Wear a bear bell during bear season.
    </div>",https://cdn2.apstatic.com/photos/hike/7009779_medium_1554397166.jpg
369,"
        Deer Trail
    ","Langley, BC","Vancouver Coast and Mountains,Vancouver Metro,Campbell Valley Regional Park",Easy/Intermediate,0.0,0,Point to Point,0.5,"
    74","
    58","https://maps.google.com/?daddr=49.019366,-122.649995","<div id=""comment-type"" class=""mb-1"" style=""display:none;"">
                            <h3 class=""mt-half"" id=""comment-type-label"">Comment Type:</h3>
                            <div></div> 

                            <label><input type=""radio"" name=""type"" value=""LOSTFOUND""> Lost or Found Item
    <span class=""text-warm small"">self-destructs in 30 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""CONDITION""> Temporary (Condition Report, Upcoming Event, etc)
    <span class=""text-warm small"">self-destructs in 90 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""BETA""> Beta for this Trail or Personal
    Opinion</label>

<script>
    </script>

                        </div>",
371,"
        Troubridge Connector
    ","Powell River, BC","Vancouver Coast and Mountains,Powell River",Intermediate,0.0,0,Point to Point,0.6,"
    1,196","
    1,167","https://maps.google.com/?daddr=49.811554,-124.178407","<div id=""comment-type"" class=""mb-1"" style=""display:none;"">
                            <h3 class=""mt-half"" id=""comment-type-label"">Comment Type:</h3>
                            <div></div> 

                            <label><input type=""radio"" name=""type"" value=""LOSTFOUND""> Lost or Found Item
    <span class=""text-warm small"">self-destructs in 30 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""CONDITION""> Temporary (Condition Report, Upcoming Event, etc)
    <span class=""text-warm small"">self-destructs in 90 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""BETA""> Beta for this Trail or Personal
    Opinion</label>

<script>
    </script>

                        </div>",
370,"
        Nature Trail
    ","Vancouver, BC","Vancouver Coast and Mountains,Vancouver Metro,Pacific Spirit Regional Park",Easy,0.0,0,Point to Point,0.9,"
    119","
    101","https://maps.google.com/?daddr=49.258226,-123.21402","<div id=""comment-type"" class=""mb-1"" style=""display:none;"">
                            <h3 class=""mt-half"" id=""comment-type-label"">Comment Type:</h3>
                            <div></div> 

                            <label><input type=""radio"" name=""type"" value=""LOSTFOUND""> Lost or Found Item
    <span class=""text-warm small"">self-destructs in 30 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""CONDITION""> Temporary (Condition Report, Upcoming Event, etc)
    <span class=""text-warm small"">self-destructs in 90 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""BETA""> Beta for this Trail or Personal
    Opinion</label>

<script>
    </script>

                        </div>",
368,"
        Sword Fern
    ","Vancouver, BC","Vancouver Coast and Mountains,Vancouver Metro,Pacific Spirit Regional Park",Easy,0.0,0,Point to Point,1.4,"
    104","
    95","https://maps.google.com/?daddr=49.257979,-123.228025","<div id=""comment-type"" class=""mb-1"" style=""display:none;"">
                            <h3 class=""mt-half"" id=""comment-type-label"">Comment Type:</h3>
                            <div></div> 

                            <label><input type=""radio"" name=""type"" value=""LOSTFOUND""> Lost or Found Item
    <span class=""text-warm small"">self-destructs in 30 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""CONDITION""> Temporary (Condition Report, Upcoming Event, etc)
    <span class=""text-warm small"">self-destructs in 90 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""BETA""> Beta for this Trail or Personal
    Opinion</label>

<script>
    </script>

                        </div>",
248,"
        The Gargoyles Trail
    ","Squamish, BC","Vancouver Coast and Mountains,Garibaldi Provincial Park",Very Difficult,3.0,1,Point to Point,1.8,"
    1,796","
    1,441","https://maps.google.com/?daddr=49.795378,-122.991705","<div class=""mb-1"">
        <div class=""trail-contacts"">
                <p><strong>Land Manager: </strong> <a data-gtm-id=""manager-external-link"" target=""_blank"" href=""http://www.env.gov.bc.ca/bcparks/"">BC Parks</a></p>
    </div>    </div>",https://cdn2.apstatic.com/photos/hike/7050763_medium_1555691372.jpg
249,"
        Lynn Headwaters Connector Trail
    ","North Vancouver, BC","Vancouver Coast and Mountains,North Shore",Easy,3.0,1,Point to Point,1.2,"
    222","
    198","https://maps.google.com/?daddr=49.359022,-123.024566","<div class=""mb-1"">
        The trailhead on the south end is at the Seymour Parking lot.  Heading north the trail provides two routes to Rice Lake, before descending a short hill and leading you to the start of the <a href=""https://www.hikingproject.com/trail/7004503/lynn-loop-trail"">Lynn Loop Trail</a>.
    </div>",
251,"
        Okanagan High Rim Trail: Segment 3 - The Monolith to Vernon Creek
    ","Vernon, BC",BC Rockies,Intermediate,3.0,1,Point to Point,9.2,"
    1,427","
    1,221","https://maps.google.com/?daddr=50.09415,-119.302154","<div class=""mb-1"">
        <ul class=""trail-sections"">
                    <li>
                <a href=""https://www.hikingproject.com/trail/7099190/okanagan-high-rim-trail"">Okanagan High Rim Trail</a>
            </li>
            </ul>
    </div>",https://cdn2.apstatic.com/photos/hike/7076764_medium_1612554770.jpg
380,"
        Black Tie
    ","Abbotsford, BC","Vancouver Coast and Mountains,Vancouver Metro,Red Mountain",Difficult,0.0,0,Point to Point,0.2,"
    347","
    328","https://maps.google.com/?daddr=49.193058,-122.341253","<div id=""comment-type"" class=""mb-1"" style=""display:none;"">
                            <h3 class=""mt-half"" id=""comment-type-label"">Comment Type:</h3>
                            <div></div> 

                            <label><input type=""radio"" name=""type"" value=""LOSTFOUND""> Lost or Found Item
    <span class=""text-warm small"">self-destructs in 30 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""CONDITION""> Temporary (Condition Report, Upcoming Event, etc)
    <span class=""text-warm small"">self-destructs in 90 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""BETA""> Beta for this Trail or Personal
    Opinion</label>

<script>
    </script>

                        </div>",
382,"
        Monck Park Trail
    ","Merritt, BC",BC Rockies,Intermediate,4.0,1,Point to Point,2.8,"
    762","
    630","https://maps.google.com/?daddr=50.176386,-120.538568","<div class=""mb-1"">
        Trailhead is near the park entrance and ends near the lake shore in the campground. Initial ascent is steep but not long. Once you reach the ridge there is a gradual decent to the campground. Great views of the lake and valley below.
    </div>",
378,"
        Jet
    ","Abbotsford, BC","Vancouver Coast and Mountains,Vancouver Metro,Red Mountain",Very Difficult,0.0,0,Point to Point,0.2,"
    341","
    300","https://maps.google.com/?daddr=49.196551,-122.33775","<div id=""comment-type"" class=""mb-1"" style=""display:none;"">
                            <h3 class=""mt-half"" id=""comment-type-label"">Comment Type:</h3>
                            <div></div> 

                            <label><input type=""radio"" name=""type"" value=""LOSTFOUND""> Lost or Found Item
    <span class=""text-warm small"">self-destructs in 30 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""CONDITION""> Temporary (Condition Report, Upcoming Event, etc)
    <span class=""text-warm small"">self-destructs in 90 days</span></label> <br>
<label><input type=""radio"" name=""type"" value=""BETA""> Beta for this Trail or Personal
    Opinion</label>

<script>
    </script>

                        </div>",
