restaurant_name,address,rating,num_reviews,tripadvisor_rating,cost,tags,website,google_maps_link
Ichiro Japanese Restaurant,"12011 2nd Ave # 110, Richmond, British Columbia V7E 3L6 Canada",4.0 of 5 bubbles,130,"#25, of 683 Restaurants in Richmond",$$ - $$$,"Japanese,Sushi,Asian",,
Continental Seafood Restaurant,"11700 Cambie Rd, Richmond, British Columbia V6X 1L5 Canada",4.0 of 5 bubbles,113,"#24, of 683 Restaurants in Richmond",$$ - $$$,"Chinese,Seafood,Asian",,
Dinesty Chinese Restaurant,"160-8111 Ackroyd Rd, Richmond, British Columbia V6X 3J9 Canada",4.0 of 5 bubbles,153,"#27, of 683 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Shanghai",,
Sun Sui Wah Chinese,"102-4940 No. 3 Rd, Richmond, British Columbia V6X 3A5 Canada",4.0 of 5 bubbles,204,"#22, of 683 Restaurants in Richmond",$$ - $$$,"Chinese,Seafood,Asian",,
Kirin Seafood Restaurant,"Three West Centre 200-7900 Westminster Hwy 200-7900 Westminster Hwy, Richmond, British Columbia V6X 1A5 Canada",4.0 of 5 bubbles,226,"#19, of 683 Restaurants in Richmond",$$ - $$$,"Chinese,Seafood,Asian",,
Catch Kitchen and Bar Restaurant,"3866 Bayview St 2nd Floor, Richmond, British Columbia V7E 4R7 Canada",4.0 of 5 bubbles,183,"#21, of 683 Restaurants in Richmond",$$ - $$$,"Bar,Seafood,Canadian",,
Kisamos Greek Taverna,"3420B Moncton St, Richmond, British Columbia V7E 3A2 Canada",4.0 of 5 bubbles,165,"#20, of 683 Restaurants in Richmond",$$ - $$$,"Mediterranean,Greek,Vegetarian Friendly",,
Moxie's Grill & Bar,"3233 St. Edwards Dr, Richmond, British Columbia V6X 3K4 Canada",4.0 of 5 bubbles,319,"#15, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,Canadian",,
Chop Steakhouse & Bar,"10251 St. Edwards Dr, Richmond, British Columbia V6X 2M9 Canada",4.0 of 5 bubbles,357,"#14, of 683 Restaurants in Richmond",$$ - $$$,"American,Steakhouse,Bar",,
Mega Sushi,"3131 Chatham St, Richmond, British Columbia V7E 2Y4 Canada",4.5 of 5 bubbles,133,"#17, of 683 Restaurants in Richmond",$$ - $$$,"Japanese,Sushi,Asian",,
The Deck Kitchen + Bar,"3500 Cessna Dr, Richmond, British Columbia V7B 1C7 Canada",4.0 of 5 bubbles,113,"#18, of 683 Restaurants in Richmond",$$ - $$$,"Bar,Canadian,Vegetarian Friendly",,
Dave's Fish & Chips,"3460 Moncton St, Richmond, British Columbia V7E 3A2 Canada",4.0 of 5 bubbles,286,"#11, of 683 Restaurants in Richmond",$$ - $$$,"British,Canadian",,
Milltown Bar & Grill,"101-9191 Bentley St, Richmond, British Columbia V6P 0B9 Canada",4.0 of 5 bubbles,220,"#12, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,Pub",,
Shanghai River,"7831 Westminster Hwy, Richmond, British Columbia V6X 4J4 Canada",4.0 of 5 bubbles,280,"#9, of 683 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Shanghai",,
Blue Canoe,"3866 Bayview St Unit 140, Richmond, British Columbia V7E 4R7 Canada",4.0 of 5 bubbles,569,"#13, of 683 Restaurants in Richmond",$$ - $$$,"Bar,Seafood,Canadian",,
The Canadian Brewhouse & Grill,"4755 Mcclelland Road Unit 1305, Richmond, British Columbia V6X 0M5 Canada",4.5 of 5 bubbles,132,"#10, of 683 Restaurants in Richmond",$$ - $$$,"Bar,Grill,Pub",,
Fogg n' Suds Restaurant,"10720 Cambie Rd, Richmond, British Columbia V6X 1K8 Canada",4.0 of 5 bubbles,407,"#7, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,Pub",,
Italian Tomato,"8380 Bridgeport Rd, Richmond, British Columbia V6X 3C7 Canada",4.0 of 5 bubbles,394,"#8, of 683 Restaurants in Richmond",$$ - $$$,"Italian,Pizza,Vegetarian Friendly",,
Cactus Club Cafe,"1666 – 6551 No 3 Rd, Richmond, British Columbia V6Y 2B6 Canada",4.0 of 5 bubbles,295,"#6, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,International",,
Harold's Kitchen & Bar,"7551 Westminster Hwy, Richmond, British Columbia V6X 1A3 Canada",4.0 of 5 bubbles,373,"#4, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,Canadian",,
CAVU Kitchen Bar,"5911 Minoru Blvd, Richmond, British Columbia V6X 4C7 Canada",4.5 of 5 bubbles,242,"#3, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,Canadian",,
Gulfstream,"5505 Airport Way Four Points by Sheraton, Kelowna, British Columbia V1V 3C3 Canada",4.5 of 5 bubbles,308,"#27, of 350 Restaurants in Kelowna",$$ - $$$,"Wine Bar,Canadian,Vegetarian Friendly",,
75 West Coast Grill,"7571 Westminster Hwy Vancouver Airport Marriott Hotel, Richmond, British Columbia V6X 1A3 Canada",4.5 of 5 bubbles,668,"#2, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,Canadian",,
Cactus Club Cafe Kelowna Yacht Club,"1-1370 Water St #1, Kelowna, British Columbia V1Y 1J1 Canada",4.0 of 5 bubbles,540,"#24, of 350 Restaurants in Kelowna",$$ - $$$,"American,Bar,Canadian",,
Flying Beaver Bar & Grill,"4760 Inglis Dr, Richmond, British Columbia V7B 1W4 Canada",4.0 of 5 bubbles,"1,152","#5, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,Pub",,
Earl's On Top,"211 Bernard Ave, Kelowna, British Columbia V1Y 6N2 Canada",4.0 of 5 bubbles,541,"#26, of 350 Restaurants in Kelowna",$$ - $$$,"American,Bar,Canadian",,
The Train Station Pub,"1177 Ellis St, Kelowna, British Columbia V1Y 1Z5 Canada",4.0 of 5 bubbles,426,"#25, of 350 Restaurants in Kelowna",$$ - $$$,"American,Bar,Pub",,
SOY Asian Fusion Restaurant,"2900 Pandosy St. Suite 101, Kelowna, British Columbia V1Y 1V9 Canada",5.0 of 5 bubbles,104,"#23, of 350 Restaurants in Kelowna",$$ - $$$,"Japanese,Asian,Fusion",,
West Coast Grill + Oyster Bar,"1675 Abbott St, Kelowna, British Columbia V1Y 8S3 Canada",4.5 of 5 bubbles,382,"#22, of 350 Restaurants in Kelowna",$$ - $$$,"Seafood,Contemporary,Canadian",,
Bluetail Sushi Bistro,"102-1675 Commerce Ave, Kelowna, British Columbia V1X 8A9 Canada",4.5 of 5 bubbles,303,"#20, of 350 Restaurants in Kelowna",$$ - $$$,"Japanese,Sushi,Asian",,
Thai Terrace Kelowna,"210 Lawrence Ave, Kelowna, British Columbia V1Y 6L3 Canada",4.5 of 5 bubbles,88,"#21, of 350 Restaurants in Kelowna",$$ - $$$,"Asian,Thai,Vegetarian Friendly",,
Cactus Club Cafe Banks Road,"200-1575 Banks Rd Unit 200, Kelowna, British Columbia V1X 7Y8 Canada",4.5 of 5 bubbles,"1,024","#19, of 350 Restaurants in Kelowna",$$ - $$$,"American,Bar,Contemporary",,
JOEY Kelowna,"2475 Hwy 97 #300, Kelowna, British Columbia V1X 4J2 Canada",4.5 of 5 bubbles,855,"#18, of 350 Restaurants in Kelowna",$$ - $$$,"Bar,Grill,Canadian",,
The Bohemian Cafe & Catering Co,"524 Bernard Ave, Kelowna, British Columbia V1Y 6P1 Canada",4.5 of 5 bubbles,458,"#17, of 350 Restaurants in Kelowna",$$ - $$$,"American,Cafe,Canadian",,
Social 242 Lounge and Grill,"242 Lawrence Ave, Kelowna, British Columbia V1Y 6L3 Canada",4.5 of 5 bubbles,467,"#15, of 350 Restaurants in Kelowna",$$ - $$$,"American,Bar,Canadian",,
Bouchons Bistro,"105-1180 Sunset Dr, Kelowna, British Columbia V1Y 9W6 Canada",4.5 of 5 bubbles,914,"#14, of 350 Restaurants in Kelowna",$$$$,"French,European,Vegetarian Friendly",,
Salt & Brick,"243 Bernard Ave, Kelowna, British Columbia V1Y 6N2 Canada",4.5 of 5 bubbles,319,"#13, of 350 Restaurants in Kelowna",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Zabb Thai Restaurant,"3009 Pandosy St, Kelowna, British Columbia V1Y 1W3 Canada",4.5 of 5 bubbles,386,"#9, of 350 Restaurants in Kelowna",$$ - $$$,"Asian,Thai,Vegetarian Friendly",,
BNA Brewing Co. & Eatery,"Kelowna BC 1250 Ellis St, Kelowna, British Columbia V1Y 1Z4 Canada",4.5 of 5 bubbles,430,"#10, of 350 Restaurants in Kelowna",$$ - $$$,"International,European,Contemporary",,
Krafty Kitchen + Bar,"281 Lawrence Ave Corner of Lawrence Ave & Water St, Kelowna, British Columbia V1Y 6L2 Canada",4.5 of 5 bubbles,396,"#11, of 350 Restaurants in Kelowna",$$ - $$$,"Contemporary,Canadian,Vegetarian Friendly",,
Raudz Regional Table,"1560 Water St, Kelowna, British Columbia V1Y 1J7 Canada",4.5 of 5 bubbles,"1,359","#12, of 350 Restaurants in Kelowna",$$$$,"International,Canadian,Vegetarian Friendly",,
Dosa Crepe Cafe,"110 Gray Rd, Kelowna, British Columbia V1X 1W7 Canada",4.5 of 5 bubbles,117,"#16, of 350 Restaurants in Kelowna",$,"Indian,Fusion,Vegetarian Friendly",,
Bai Tong Thai Food Restaurant,"275 Bernard Ave, Kelowna, British Columbia V1Y 6N2 Canada",4.5 of 5 bubbles,342,"#8, of 350 Restaurants in Kelowna",$$ - $$$,"Asian,Thai,Vegetarian Friendly",,
Waterfront Wines Restaurant & Bar,"1180 Sunset Dr, Kelowna, British Columbia V1Y 9W6 Canada",4.5 of 5 bubbles,516,"#7, of 350 Restaurants in Kelowna",$$$$,"Contemporary,Wine Bar,Canadian",,
"Basil & Mint, Restaurant and Bar","3799 Lakeshore Rd Corner of Lakeshore Rd and Cook Rd, Kelowna, British Columbia V1W 3K3 Canada",4.5 of 5 bubbles,598,"#6, of 350 Restaurants in Kelowna",$$ - $$$,"Contemporary,Wine Bar,Canadian",,
Central Kitchen + Bar,"1155 Ellis St, Kelowna, British Columbia V1Y 1Z5 Canada",4.5 of 5 bubbles,270,"#4, of 350 Restaurants in Kelowna",$$ - $$$,"Vegetarian Friendly,Vegan Options,Gluten Free Options",,
The Fixx Pasta Bar and Cafe,"3275 Lakeshore Rd, Kelowna, British Columbia Canada",4.5 of 5 bubbles,612,"#3, of 350 Restaurants in Kelowna",$$ - $$$,"Italian,American,Mediterranean",,
Antico Pizza Napoletana,"347 Bernard Ave, Kelowna, British Columbia V1Y 6N6 Canada",4.5 of 5 bubbles,277,"#5, of 350 Restaurants in Kelowna",$$ - $$$,"Italian,Pizza,Neapolitan",,
Mabui Sushi Izakaya,"8-2070 Harvey Ave 8-2070 Harvey Ave, V1Y 8P8, Kelowna, British Columbia V1Y 8P8 Canada",4.5 of 5 bubbles,224,"#2, of 350 Restaurants in Kelowna",$$ - $$$,"Japanese,Sushi,Asian",,
Dakodas Pub,"1574 Harvey Ave Upstairs, Kelowna, British Columbia V1Y 6G2 Canada",3.5 of 5 bubbles,60,"#170, of 350 Restaurants in Kelowna",$$ - $$$,"Pizza,Pub,Canadian",,
Butchers Block BBQ,"4091 Hastings St, Burnaby, British Columbia V5C 2J1 Canada",4.5 of 5 bubbles,75,"#13, of 500 Restaurants in Burnaby",$$ - $$$,"American,Barbecue,Canadian",,
Tenen,"7569 Royal Oak Ave, Burnaby, British Columbia V5J 4J8 Canada",4.5 of 5 bubbles,36,"#16, of 500 Restaurants in Burnaby",$$ - $$$,"European,Eastern European,Central European",,
Cayenne Bistro & Grill,"7677 6th St, Burnaby, British Columbia V3N 3M8 Canada",5.0 of 5 bubbles,37,"#14, of 500 Restaurants in Burnaby",$$ - $$$,"Indian,African,Vegetarian Friendly",,
Personas Patio Restaurant and Lounge,"4331 Dominion Street, Burnaby, British Columbia V5G 1C7 Canada",4.0 of 5 bubbles,98,"#15, of 500 Restaurants in Burnaby",$$ - $$$,"Bar,Canadian,Vegetarian Friendly",,
Chad Thai,"4010 Hastings St, Burnaby, British Columbia V5C 2H9 Canada",4.0 of 5 bubbles,64,"#18, of 500 Restaurants in Burnaby",$,"Asian,Thai,Vegetarian Friendly",,
L'artista Italian Restaurant,"3891 Hastings St, Burnaby, British Columbia V5C 2H7 Canada",4.0 of 5 bubbles,101,"#17, of 500 Restaurants in Burnaby",$$ - $$$,"Italian,Vegetarian Friendly,Vegan Options",,
Bandidas Taqueria,"2781 Commercial Dr, Vancouver, British Columbia V5N 4C5 Canada",4.5 of 5 bubbles,191,"#113, of 2,517 Restaurants in Vancouver",$$ - $$$,"Mexican,Vegetarian Friendly,Vegan Options",,
Kishimoto Japanese Kitchen,"2054 Commercial Dr, Vancouver, British Columbia V5N 4A9 Canada",4.5 of 5 bubbles,201,"#94, of 2,517 Restaurants in Vancouver",$$ - $$$,"Japanese,Sushi,Asian",,
Siddharthas Indian Kitchen,"2066 Commercial Dr Vancovuer BC, Vancouver, British Columbia V5N 4A9 Canada",4.5 of 5 bubbles,201,"#65, of 2,517 Restaurants in Vancouver",$$ - $$$,"Indian,Asian,Vegetarian Friendly",,
Cotto Enoteca Pizzeria,"6011 Hastings St, Burnaby, British Columbia V5B 1R8 Canada",4.0 of 5 bubbles,169,"#9, of 500 Restaurants in Burnaby",$$ - $$$,"Italian,Pizza,Vegetarian Friendly",,
Saffron Indian Cuisine,"5-4300 Kingsway, Burnaby, British Columbia V5H 1Z8 Canada",4.0 of 5 bubbles,174,"#10, of 500 Restaurants in Burnaby",$$ - $$$,"Indian,Vegetarian Friendly,Vegan Options",,
JOEY Burnaby,"109-1899 Rosser Ave, Burnaby, British Columbia V5C 6R5 Canada",4.0 of 5 bubbles,155,"#8, of 500 Restaurants in Burnaby",$$ - $$$,"American,Bar,Canadian",,
Cactus Club Cafe North Burnaby,"4219 Lougheed Highway, Burnaby, British Columbia V5C 3Y6 Canada",4.0 of 5 bubbles,208,"#7, of 500 Restaurants in Burnaby",$$ - $$$,"American,Bar,Canadian",,
Anton's Pasta Bar,"4260 Hastings St, Burnaby, British Columbia V5C 2J6 Canada",4.0 of 5 bubbles,553,"#5, of 500 Restaurants in Burnaby",$$ - $$$,"Italian,Vegetarian Friendly,Vegan Options",,
Sushi Garden,"4635 Kingsway, Burnaby, British Columbia V5H 2B3 Canada",4.0 of 5 bubbles,233,"#11, of 500 Restaurants in Burnaby",$$ - $$$,"Japanese,Sushi,Asian",,
The Keg Steakhouse + Bar - Burnaby,"4510 Still Creek Avenue, Burnaby, British Columbia V5C 0B5 Canada",4.0 of 5 bubbles,160,"#6, of 500 Restaurants in Burnaby",$$ - $$$,"Steakhouse,Bar,Canadian",,
Ricky's Country Restaurant,"2350 Boundary Rd Accent Inns, Burnaby, British Columbia V5M 3Z3 Canada",4.0 of 5 bubbles,155,"#12, of 500 Restaurants in Burnaby",$$ - $$$,"American,Canadian",,
Hart House Restaurant,"6664 Deer Lake Ave, Burnaby, British Columbia V5E 4H3 Canada",4.0 of 5 bubbles,311,"#4, of 500 Restaurants in Burnaby",$$$$,"Mediterranean,Vegetarian Friendly,Gluten Free Options",,
Burnaby Cockney Kings,"6574 Hastings St, Burnaby, British Columbia V5B 1S2 Canada",4.5 of 5 bubbles,359,"#3, of 500 Restaurants in Burnaby",$$ - $$$,"Seafood,British,Canadian",,
Atlas Steak + Fish,"4331 Dominion Street, Burnaby, British Columbia V5G 1C7 Canada",4.5 of 5 bubbles,275,"#1, of 500 Restaurants in Burnaby",$$$$,"Steakhouse,Seafood,Canadian",,
Jagerhof,"71 Lonsdale Ave, North Vancouver, British Columbia V7M 2E5 Canada",4.0 of 5 bubbles,217,"#20, of 299 Restaurants in North Vancouver",$$ - $$$,"German,Austrian,Swiss",,
Anatoli Souvlaki,"5 Lonsdale Ave, North Vancouver, British Columbia V7M 2E4 Canada",4.0 of 5 bubbles,231,"#21, of 299 Restaurants in North Vancouver",$$ - $$$,"Mediterranean,Greek,Vegetarian Friendly",,
Vaades,"149 3rd St W, North Vancouver, British Columbia V7M 1E7 Canada",4.5 of 5 bubbles,133,"#19, of 299 Restaurants in North Vancouver",$$ - $$$,"Indian,Asian,Vegetarian Friendly",,
Lift Breakfast Bakery,"101 Lonsdale Ave Lonsdale & West 1st Street, North Vancouver, British Columbia V7M 2E7 Canada",4.5 of 5 bubbles,108,"#22, of 299 Restaurants in North Vancouver",$$ - $$$,"Cafe,Canadian,Vegetarian Friendly",,
Trattoria Burnaby,"4501 Kingsway, Burnaby, British Columbia V5H 2A9 Canada",4.5 of 5 bubbles,927,"#2, of 500 Restaurants in Burnaby",$$ - $$$,"Italian,Pizza,Vegetarian Friendly",,
Tomahawk Barbeque,"1550 Philip Ave, North Vancouver, British Columbia V7P 2V8 Canada",4.0 of 5 bubbles,529,"#17, of 299 Restaurants in North Vancouver",$$ - $$$,"Diner,Canadian,Vegetarian Friendly",,
Blvd Bistro,"636 Queensbury Ave, North Vancouver, British Columbia V7L 3V6 Canada",4.5 of 5 bubbles,108,"#18, of 299 Restaurants in North Vancouver",$$ - $$$,"Cafe,Canadian,Vegetarian Friendly",,
The Observatory,"6400 Nancy Greene Way, North Vancouver, British Columbia V7R 4K9 Canada",4.0 of 5 bubbles,392,"#14, of 299 Restaurants in North Vancouver",$$$$,"American,Canadian,Vegetarian Friendly",,
Mythos Taverna,"132 3rd St W, North Vancouver, British Columbia V7M 2J8 Canada",4.5 of 5 bubbles,183,"#15, of 299 Restaurants in North Vancouver",$$ - $$$,"Mediterranean,Greek,Vegetarian Friendly",,
Pier 7 restaurant + bar,"25 Wallace Mews, North Vancouver, British Columbia V7L 0B9 Canada",4.0 of 5 bubbles,808,"#12, of 299 Restaurants in North Vancouver",$$ - $$$,"Bar,Seafood,Canadian",,
Indian Fusion,"2045 Lonsdale Ave, North Vancouver, British Columbia V7M 2K4 Canada",4.5 of 5 bubbles,184,"#16, of 299 Restaurants in North Vancouver",$$ - $$$,"Indian,Vegetarian Friendly,Vegan Options",,
JOEY Shipyards,"125 Victory Ship Way Unit 110, North Vancouver, British Columbia V7L 0G5 Canada",4.5 of 5 bubbles,73,"#11, of 299 Restaurants in North Vancouver",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Orto Artisan Pasta,"1600 Mackay Road, North Vancouver, British Columbia V7P 2M4 Canada",4.5 of 5 bubbles,106,"#13, of 299 Restaurants in North Vancouver",$$ - $$$,"Italian,European,Vegetarian Friendly",,
Burgoo,"3 Lonsdale Ave, North Vancouver, British Columbia V7M 2E4 Canada",4.0 of 5 bubbles,335,"#7, of 299 Restaurants in North Vancouver",$$ - $$$,"American,Canadian,Soups",,
Palki Restaurant,"116 15th St E, North Vancouver, British Columbia V7L 2P9 Canada",4.5 of 5 bubbles,234,"#8, of 299 Restaurants in North Vancouver",$$ - $$$,"Indian,Vegetarian Friendly,Vegan Options",,
Tour de Feast Cafe,"319 Mountain Hwy, North Vancouver, British Columbia V7J 2K7 Canada",4.5 of 5 bubbles,214,"#4, of 299 Restaurants in North Vancouver",$$ - $$$,"French,European,Canadian",,
Lonsdale Quay Market,"123 Carrie Cates Court, North Vancouver, British Columbia V7M 3K7 Canada",4.0 of 5 bubbles,187,"#6, of 299 Restaurants in North Vancouver",$$ - $$$,"Speciality Food Market,Chinese,Seafood",,
Fishworks,"91 Lonsdale Ave, North Vancouver, British Columbia V7M 2E5 Canada",4.0 of 5 bubbles,554,"#5, of 299 Restaurants in North Vancouver",$$ - $$$,"Seafood,Canadian,Vegetarian Friendly",,
The Lobby Restaurant and Lounge,"138 Victory Ship Way Pinnacle Hotel At The Pier, North Vancouver, British Columbia V7L 0B1 Canada",4.5 of 5 bubbles,494,"#3, of 299 Restaurants in North Vancouver",$$ - $$$,"International,Contemporary,Canadian",,
Tap & Barrel - Shipyards,"8 Lonsdale Ave Lower Lonsdale, North Vancouver, British Columbia V7L 0B2 Canada",4.0 of 5 bubbles,534,"#10, of 299 Restaurants in North Vancouver",$$ - $$$,"American,Bar,Pub",,
Cactus Club Cafe North Vancouver,"1598 Pemberton Avenue, North Vancouver, British Columbia V7P 2S2 Canada",4.5 of 5 bubbles,133,"#9, of 299 Restaurants in North Vancouver",$$ - $$$,"Bar,Canadian,Vegetarian Friendly",,
Scratch Kitchen,"437 Dollarton Hwy N, North Vancouver, British Columbia V7G 1M9 Canada",5.0 of 5 bubbles,77,"#2, of 299 Restaurants in North Vancouver",$$ - $$$,"Pizza,Canadian,Vegetarian Friendly",,
Hearthstone Brewery,"1015 Marine Dr, North Vancouver, British Columbia V7P 1S6 Canada",3.5 of 5 bubbles,71,"#81, of 299 Restaurants in North Vancouver",$$ - $$$,"Bar,Pizza,Pub",,
Arms Reach Bistro,"107C-4390 Gallant Ave, North Vancouver, British Columbia V7G 1L2 Canada",4.5 of 5 bubbles,625,"#1, of 299 Restaurants in North Vancouver",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Scott's Inn & Restaurant in Kamloops,"551 11th Ave, Kamloops, British Columbia V2C 3Y1 Canada",4.5 of 5 bubbles,214,"#30, of 207 Restaurants in Kamloops",$$ - $$$,"American,Diner,Canadian",,
Earls,"800-1210 Summit Dr Columbia Place Shopping Centre, Kamloops, British Columbia V2C 6M1 Canada",4.0 of 5 bubbles,372,"#29, of 207 Restaurants in Kamloops",$$ - $$$,"American,Bar,Canadian",,
Cora,"1801 Princeton Kamloops Hwy Unit 601-602, Kamloops, British Columbia V2E 2J7 Canada",4.0 of 5 bubbles,240,"#28, of 207 Restaurants in Kamloops",$$ - $$$,"American,Healthy,Canadian",,
MR MIKES SteakhouseCasual Kamloops,"5-1200 Summit Dr, Kamloops, British Columbia V2C 6L2 Canada",4.0 of 5 bubbles,214,"#27, of 207 Restaurants in Kamloops",$$ - $$$,"American,Steakhouse,Bar",,
Scoopz Ice Cream Parlour,"265 Lorne St, Kamloops, British Columbia V2C 1W2 Canada",4.5 of 5 bubbles,79,"#1, of 11 Desserts in Kamloops",$,"Dessert,Canadian,Gluten Free Options",,
Duffy's Pub,"1797 Pacific Way, Kamloops, British Columbia V2E 2H9 Canada",4.0 of 5 bubbles,158,"#24, of 207 Restaurants in Kamloops",$$ - $$$,"Bar,Pub,Canadian",,
Nandi's Flavours Of India,"610 Columbia St W Bc, Kamloops, British Columbia V2C 1L1 Canada",4.5 of 5 bubbles,158,"#26, of 207 Restaurants in Kamloops",$$ - $$$,"Indian,Vegetarian Friendly,Vegan Options",,
