attraction_name,attraction_rating,attraction_category,num_reviews,rank_in_city,photo,about,suggested_duration
Jenny Bailie and Louise Drescher Studio and Gallery Space,,Art Galleries,130,#12 of 13 things to do in Rossland,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0b/68/e0/dd/ryan-flett.jpg),,< 1 hour
Mindful Mountain Yoga,,Yoga & Pilates,130,#2 of 4 Spas & Wellness in Rossland,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/0c/e2/99/79/tourism-rossland.jpg),,1-2 hours
,,,,,,,
Feather Your Nest,,Speciality & Gift Shops,130,#10 of 15 Shopping in Rossland,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0b/c1/71/19/tourism-rossland.jpg),,< 1 hour
French Vanilla Home and Garden,,Speciality & Gift Shops,737,#97 of 106 Shopping in Victoria,,,< 1 hour
Treasure Mountain Jewel Shop,,Speciality & Gift Shops,130,#11 of 15 Shopping in Rossland,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0b/61/ac/57/ryan-flett.jpg),,< 1 hour
Hermes,,Airport Shops,667,#90 of 97 things to do in Richmond,,,
Affordable Luxuries,,Airport Shops,667,#95 of 97 things to do in Richmond,,,
Morice Mountain Nordic Ski Trails,,Cross-country Ski Areas,,#8 of 10 things to do in Houston,,,2-3 hours
Cook Culture - Lonsdale Cooking School,,Cooking Classes,426,#1 of 1 Classes & Workshops in North Vancouver,,,2-3 hours
Afro Deep Massage,,Spas,2,#27 of 28 Spas & Wellness in Burnaby,,,< 1 hour
Nourish Clinic,,Spas,239,#4 of 6 Spas & Wellness in Golden,,,1-2 hours
Royal Thai Massage,,Spas,737,#42 of 46 Spas & Wellness in Victoria,,,1-2 hours
,,,,,,,
Chinese Zodiac Gifts & Souvenirs,,Speciality & Gift Shops,16,#178 of 187 Shopping in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0a/f3/3e/de/getlstd-property-photo.jpg),,< 1 hour
Sunglass Hut,,Airport Shops,667,#83 of 97 things to do in Richmond,,,
Crafthouse / Discover BC,,Airport Shops,667,#94 of 97 things to do in Richmond,,,
Tic Toc,,Speciality & Gift Shops • Airport Shops,667,#54 of 75 Shopping in Richmond,,,
Leather & Steel,,Speciality & Gift Shops,11,#1 of 1 Shopping in Fruitvale,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/0c/ef/29/db/ryan-flett.jpg),,1-2 hours
Beauty Shop,,Speciality & Gift Shops • Airport Shops,667,#51 of 75 Shopping in Richmond,,,
Gallerie Vancouver,,Airport Shops,667,#93 of 97 things to do in Richmond,,,
World Duty Free,,Airport Shops,667,#77 of 97 things to do in Richmond,,,
Designer Option,,Airport Shops,667,#92 of 97 things to do in Richmond,,,
Life is Good,,Airport Shops,667,#87 of 97 things to do in Richmond,,,
,,,,,,,
SkinKara Esthetics,,Spas,737,#10 of 10 Spas & Wellness in Nanaimo,,,< 1 hour
The Arthouse on Mill St.,,Art Galleries,2,#48 of 48 things to do in Chilliwack,,,< 1 hour
,,,,,,,
Rosemeade Farms,,Farms,737,#11 of 11 things to do in Saanichton,,,
Silverside Farm & Winery,,Wineries & Vineyards,737,#12 of 13 things to do in Cobble Hill,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",< 1 hour
Woofy's,,Speciality & Gift Shops,737,#14 of 15 Shopping in Courtenay,,,
,,,,,,,
Squampton snowskates,,Ski & Snowboard Areas,16,#34 of 34 things to do in Squamish,,,
Tasters,,Speciality & Gift Shops,2,#3 of 3 Shopping in Coquitlam,,,< 1 hour
Snowga,,Lessons & Workshops,100,#13 of 13 Classes & Workshops in Kelowna,,,< 1 hour
,,,,,,,
Ringo-En Orchards,,Farmers Markets,2,#36 of 36 things to do in Vernon,,,
Treloar Physiotherapy,,Sports Complexes,16,#387 of 402 things to do in Vancouver,,,< 1 hour
Vancouver Island Corn Maze,,Game & Entertainment Centres,737,#1 of 1 Fun & Games in North Saanich,,,2-3 hours
Unravelled Adventures,,Scavenger Hunts,16,#67 of 71 Fun & Games in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0c/6d/f9/9b/getlstd-property-photo.jpg),,1-2 hours
Shades of Time,,Airport Shops,667,#79 of 97 things to do in Richmond,,,
Les Boutiques,,Airport Shops,667,#85 of 97 things to do in Richmond,,,
Collection,,Airport Shops,667,#91 of 97 things to do in Richmond,,,
,,,,,,,
The Well on Bowen,,Yoga & Pilates,38,#2 of 2 Spas & Wellness in Bowen Island,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",1-2 hours
,,,,,,,
,,,,,,,
Beyond Beauty Medi-Spa,,Spas,2,#11 of 11 Spas & Wellness in Vernon,,,1-2 hours
Pure Ellements Wellness,,Spas,737,#4 of 4 Spas & Wellness in Langford,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/2c/d9/1a/real-westcoast-women.jpg),,1-2 hours
Chain Reaction Ride and Slide,,Equipment Hire,238,#7 of 8 Outdoor Activities in Grand Forks,,,2-3 hours
Ecorides,,Taxis & Shuttles,,#1 of 1 Transportation in Glacier National Park of Canada,,,
Sunstones Beads & Gems,,Speciality & Gift Shops,10,#8 of 8 Shopping in Sechelt,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/12/b2/d0/69/sunstones-beads-gems.jpg),,< 1 hour
,,,,,,,
Achieve Health,,Spas,737,#41 of 46 Spas & Wellness in Victoria,,,1-2 hours
Marshall Russo,,Airport Shops,667,#84 of 97 things to do in Richmond,,,
The Lido,4.5,Cinemas,40,#3 of 4 Fun & Games in Fort St. John,background-image:url(https://media-cdn.tripadvisor.com/media/photo-s/09/36/a5/51/the-lido.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">This is such a fun place to attend functions. I took my grandkids at spring break. Movies were 2.00 per person and the staff was so friendly and helpful. I can't wait to go back!</span></div>",
Whistler Racket Club,5.0,Sports Complexes,6,#42 of 66 things to do in Whistler,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0e/8f/62/6e/photo2jpg.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",2-3 hours
Telegraph Cove Art Gallery,5.0,Art Galleries,2,#11 of 13 things to do in Telegraph Cove,background-image:url(https://media-cdn.tripadvisor.com/media/photo-s/1b/16/4c/0b/during-the-resort-s-closed.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",1-2 hours
Kokanee Glacier Provincial Park,5.0,National Parks,26,#3 of 4 things to do in Ainsworth Hot Springs,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/02/56/ee/96/the-old-cabin.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">A nice 4 hour return hike with the kids.  Almost didn't make it out of the parking lot as we spotted a bear cub just a few minutes into the hike.  We retreated to the parking lot, and waited to join another group before leaving as the mother was nowhere in sight.  <br><br>Very beautiful hike.  Would have loved to continue to the Lodge, but the kids were done.</span></div>",
Coastal Carvings Fine Art Gallery,4.5,Art Galleries,20,#3 of 13 things to do in Coombs,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/07/06/7e/1b/coastal-carvings-fine.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">This wonderful gallery right next to the Coombs Old Country Market is a fantastic stop if you are looking for high quality native art. Kathleen, the docent on duty when we arrived, spent 45 minutes talking us through the display of beautiful carvings, furniture, paintings and jewelry. Our pockets were not deep enough to purchase anything but she was gracious and informative about the artist and the history of Vancouver Island 's native people. Worth a visit after the chaos of ""Goats on a Roof.""</span></div>",< 1 hour
North Island Wildlife Recovery Centre,4.5,Nature & Wildlife Areas,270,#1 of 4 things to do in Errington,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/16/fc/72/d5/20190326-131459-largejpg.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",1-2 hours
Pinnacles Provincial Park,4.0,Parks,40,#2 of 14 things to do in Quesnel,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/06/9f/52/03/pinnacles-provincial.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">A nice easy wall to Pinnacles also great running and mountain bike trails that go back above Baker Creek, great views along the trails that can go for Km. Well worth the visit!</span></div>",
Aylard Farm,5.0,Nature & Wildlife Areas,43,#8 of 20 things to do in Sooke,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/14/c8/d2/a3/20180919-153951-largejpg.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">Great for a nice hike, with awesome views. The beach is awesome! Like a little tropical paradise! Easy to get to the beach, great for families.</span></div>",
Carmanah Walbran Provincial Park,4.5,National Parks • Forests,9,#6 of 18 things to do in Port Renfrew,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0b/61/ea/de/carmanah-walbran-provincial.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">This park is truely one of the Island's gems. The board walks are flat and easy to navigate to the beautiful trees that are hundreds of years old. The mist through the trees gives the place an ethereal quality. The places makes you stop and appreciate the beauty of our world. There is camping along the river looks beautiful with incredibly clear water.  It takes 2 hours to get to by gravel road from Gordon Bay in Cowichan. We only used 2 wheel drive on our 4x4 truck but it was definitely rough. No service anywhere either so be prepared and fill up your gas in Cowichan or bring a jerry can. Worth the trip!</span></div>",
Porteau Cove Provincial Park,4.5,Parks,219,#7 of 34 things to do in Squamish,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/26/b0/ae/porteau-cove-provincial.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">We have camped at this piece of heaven for the past 10 years. The last two years have been terrible. The park operators are rude and go out of their way to look for problems from families that are quiet and considerate. The rules are not enforced equally and you feel like you are camping on egg shells and constantly worried you are doing something wrong. The washroom staff cleaning the bathroom (at 11 am... when people are trying to shower and get on with their day) told my daughters they had to leave and were not polite at all. We expect better service and respect from our provincial park operators. We saw a ridiculous amount of staff...  this is a 44 site campground... not necessary. Sadly, we will NOT be going back! If you have dogs, don't bother going... not worth it, just more grounds for the staff to be all over you. Our dog slipped off his collar and we got a written warning! The staff waited outside my shower room for me to give me a lecture and the ticket. I wonder if the Park Operators have some sort of ticket quota? Anyways, definitely visit the area if you can, but unless you like being watched constantly, stay away from the campsite....</span></div>",
Pioneer Park and Beach,4.0,Beaches • Parks,57,#14 of 52 things to do in Kamloops,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0f/c1/5e/72/red-bridge-by-pioneer.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">In the middle of a semi-desert this was a lovely surprise.  The lawns and amenities are well taken care of and it is a great place for people to just relax.  </span></div>",
Francis Point Provincial Park,4.5,Parks,87,#1 of 10 things to do in Madeira Park,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/08/96/a9/59/francis-point-provincial.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">The trailhead is just a short drive from our hotel Painted Boat Spa and Marina. The GPS took us past the unmarked turnoff so we had to backtrack a short distance. The parking lot is small. The hike begins in the trees but opens up to the ocean.<br><br>The path may be hard to see at first. There are uneven areas and lots of large rocks. We walked 30 minutes to the point and sat on the rock face to enjoy the view.</span></div>",
Cultus Lake Park,4.0,Parks,34,#4 of 5 things to do in Cultus Lake,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/08/ba/10/ce/peaceful.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">It is gorgeous, hard to believe how close you are to a few million people living nearby.  IF they could control the geese, the swimmer's itch, this would just be that much better.  Still, an awesome place for a picnic or beach day and the water is warm...</span></div>",
Loggers Lake Trail,4.5,Hiking Trails,3,#51 of 65 things to do in Whistler,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/11/e5/f0/43/photo0jpg.jpg),,
