attraction_name,attraction_rating,attraction_category,num_reviews,rank_in_city,photo,about,suggested_duration
Sunglass Hut,,Airport Shops,,#83 of 97 things to do in Richmond,,"The place to shop for top brands and top quality sunglasses. Try on the latest styles from Ray-Ban, DKNY, Oakley, Prada and many more. With shades for men, women and children and plenty of choices for under $100, Sunglass Hut can help you look great on the beach, slopes or streets.",
Sweet Maple Market,,Airport Shops,,#82 of 97 things to do in Richmond,,"Sweet Maple Market is a store and cafe all in one! The store offers every item a traveler might need including: reading materials, snacks, bottled beverages, personal electronics, health and beauty aids as well as souvenirs.",
Beauty Shop,,Speciality & Gift Shops • Airport Shops,,#51 of 75 Shopping in Richmond,,A convenient one-stop haven for lovers of cosmetics and fragrance offering a wide range of perfumes and skincare products from the latest fashionable brands to the classic premium brands. The Beauty Shop offers a relaxed shopping environment giving you space and time to browse. Beauty Advisors will be on hand to ensure your experience leaves you perfectly relaxed for your onward journey.,
Tech on the Go,,Airport Shops,,#79 of 98 things to do in Richmond,,"Tech gadgets are today’s essential travel companions. Whether it’s a smart phone, laptop, digital camera, handheld game or all of these, Tech on the Go has everything you need for your favourite electronic toys and tools. Find the latest mobile and smart phone accessories including chargers and hands-free headsets or a plug adapter to keep you connected while you travel.",
Forever Laser Spa,,Spas,,#226 of 229 Spas & Wellness in Vancouver,,,More than 3 hours
,,,,,,,
New Age Insights,,Speciality & Gift Shops,,#4 of 4 Shopping in Smithers,,,
Fraser River Provincial Park,,Parks,,#48 of 50 things to do in Prince George,,,
,,,,,,,
Ningunsaw Provincial Park,,Parks,,#83 of 88 things to do in Kitimat-Stikine District,,,
Vanscooter Adventures Ltd.,,Equipment Hire,,#216 of 220 Outdoor Activities in Vancouver,,"Try one of our amazing kick scooter scavenger hunts, the most exciting way to explore Vancouver! Scoot around our beautiful city solving clues and creating a photo journal of your adventure. You can explore Coal Harbour, Stanley Park, English Bay & Granville Island. Great for couples, groups, families and travellers. Contact us to book your tour today!",2-3 hours
Bones Bay,,Bodies of Water,,#1 of 1 things to do in West Cracroft Island,,,More than 3 hours
,,,,,,,
Fabulous Limousines,,Taxis & Shuttles,,#3 of 3 Transportation in Burnaby,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/0b/a0/81/14/fabulous-suv-limo-seats.jpg),"We are the best Vancouver limo service and limo rental company specializing in amazing SUV limos, stretch limos, and party buses along with unparalleled satisfaction. Our exquisite service is matched only by our luxurious limousines which are immaculate, elegant, and just plain Fabulous - the finest limo Vancouver has to offer.",2-3 hours
,,,,,,,
Canadian Powder Adventures - Day Tours,,Ski & Snow Tours,,#41 of 47 Outdoor Activities in Golden,,"Single day guided backcountry skiing/snowboarding based out of Kicking Horse Resort. At least intermediate fitness and ability required, but first-time ski tourers welcome! Personal avalanche safety equipment required, information seminar on safe travel/avalanche rescue included (prior to leaving the boundary). Also required/not included is a lift pass and appropriate touring equipment.",More than 3 hours
Rosemeade Farms,,Farms,,#11 of 11 things to do in Saanichton,,,
,,,,,,,
Mount Manuel Quimper,,Mountains • Hiking Trails,,#757 of 789 things to do in Vancouver Island,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1b/c7/06/95/the-mount-car-is-a-mounten.jpg),,More than 3 hours
Golden Ears Trail Riding,,Horseback Riding Tours,,#9 of 9 Outdoor Activities in Maple Ridge,,"Exclusive horseback riding trails in Golden Ears Provincial Park, the most scenic riding in all the lower mainland. 90 minutes from Vancouver. Trails available for all riding skill levels from beginners to advanced. Qualified guides lead you on scenic trails through the rainforest. 2 hour and longer rides can include rivers, waterfalls, lakes and diverse mountain trails.",2-3 hours
All In Limousine,,Taxis & Shuttles,,#4 of 4 Transportation in Surrey,,All In Limousine provides luxury transportation services in the Lower Mainland of British Columbia.,2-3 hours
Victoria Paintball Adventures,,Game & Entertainment Centres,,#34 of 34 Fun & Games in Victoria,,Victoria Paintball Adventures invites you to join us for an unforgettable day of adventure where your fun and safety are our foremost priority. We are proud to be Vancouver Island's premiere paintball facility since 1991.,More than 3 hours
Mountain Meadows Golf Course,,Golf Courses,,#1 of 1 Outdoor Activities in Elkford,,,
Spa Journeybook,,Spas,,#225 of 229 Spas & Wellness in Vancouver,,,1-2 hours
Squampton snowskates,,Ski & Snowboard Areas,,#34 of 34 things to do in Squamish,,,
Ocean Breath Yoga,,Yoga & Pilates,,#223 of 229 Spas & Wellness in Vancouver,,"Ocean Breath Yoga is a small sanctuary of a studio on Granville Island providing Yoga that is guided by a balance breath, body, mind awareness. You are guaranteed small classes (12 or less) that allow the teachers to guide you safely and mindfully. Celebrate your individual body and needs. Come sweat or rest, play or sit. It is your body, your practice. Open to locals and visitors, all levels.",1-2 hours
Windrush Gallery,,Art Galleries,,#12 of 14 things to do in Metchosin,,,
Cook Culture - Lonsdale Cooking School,,Cooking Classes,,#1 of 1 Classes & Workshops in North Vancouver,,We believe the one thing everyone can make in their kitchen is a better life. Everything we do is to help you have more fun and eat better.,2-3 hours
iStore,,Airport Shops,,#89 of 97 things to do in Richmond,,"Boutique iStore is the mobile digital lifestyle destination for the busy traveller.. With products by Apple, Sony, Sennheiser and Monster Beats, you’ll find all the devices and accessories you want for work and play. Stocked with chargers, cases, adapters, docks and SD cards, Boutique iStore will make sure your tech-toys are charged and ready for any adventure.",
Shades of Time,,Airport Shops,,#79 of 97 things to do in Richmond,,"Whether you’re looking for the latest runway trends and Hollywood-inspired fashions or if the sand, snow and links are more your style, Shades of Time stocks a wide selection of all the top brands in luxury and sports sunglasses and watches. They also offer a selection of high-quality writing instruments by Cross and Mont Blanc.",
,,,,,,,
,,,,,,,
World Duty Free,,Airport Shops,,#77 of 97 things to do in Richmond,,"World Duty Free is the airport’s main tax and duty free brand where customers can discover fantastic savings compared to domestic retail prices on a wide range of products including fragrance, skincare, cosmetics; wines, spirits & champagne; tobacco and cigars; plus confectionery, souvenirs and travel essentials. Our main shop located post security on the International side has something for everyone and is conveniently open 24/7 365 days a year to serve you to better.",
Marshall Russo,,Airport Shops,,#84 of 97 things to do in Richmond,,"Marshall Rousso offers its signature collection of women’s lifestyle fashion apparel including handbags, jewelry and shoes.",
Gifts of the Raven,,Airport Shops,,#88 of 97 things to do in Richmond,,"The interior of Vancouver International Airport is inspired by British Columbia’s natural beauty and includes art reflecting its First Nations heritage. Located adjacent to Bill Reid’s The Spirit of Haida Gwaii: The Jade Canoe , Gifts of the Raven gives visitors an opportunity to experience and take home a piece of that distinctive cultural history. The store features a wide selection of artwork from B.C.’s First Nations people.",
World Duty Free,,Airport Shops,,#76 of 97 things to do in Richmond,,"World Duty Free is the airport’s main tax and duty free brand where customers can discover fantastic savings compared to domestic retail prices on a wide range of products including fragrance, skincare, cosmetics; wines, spirits & champagne; tobacco and cigars; plus confectionery, souvenirs and travel essentials. Our main shop located post security on the International side has something for everyone and is conveniently open 24/7 365 days a year to serve you to better.",
Mountain Style Shop,,Airport Shops,,#86 of 97 things to do in Richmond,,"Canada’s natural beauty is the inspiration for a unique style based on outdoor adventure. The Mountain Style Shop brings passengers this one-of-a-kind Canadiana shopping experience with the sights and sounds of nature as a backdrop for souvenirs, gifts and fashions. Find cozy fleece jackets and cool cotton t-shirts and have your photo taken with the shop’s life-sized bear.",
Volume One Bookstore,,Speciality & Gift Shops,,#10 of 10 Shopping in Duncan,,,
Salamadra Gifts and Flowers,,Airport Shops,,#80 of 97 things to do in Richmond,,"Give someone special a greeting they won’t forget with the help of Salamandra Gifts & Flowers. Pick up a floral arrangement, bouquet or balloons to greet your loved-one in style. Conveniently located in the International Arrivals area, they also stock cards, jewellery, photo frames and vases making it the perfect stop for a last minute gift.",
Pavilion Lake,,Bodies of Water,,#8 of 9 things to do in Wynndel,,,1-2 hours
Crafthouse / Discover BC,,Airport Shops,,#94 of 97 things to do in Richmond,,"Handmade gifts and souvenirs are one-of-a-kind, and reflective of the people who make them and places they’re made. Shop from a dynamic and ever-changing collection of hand-crafted products from the easels, looms, sewing machines and kilns of B.C.’s local artisans. Choose from their selection of contemporary and traditional items including artwork, jewellery, clay items and clothing.",
,,,,,,,
,,,,,,,
Fernie's Sweet Tea Parlour,,Speciality & Gift Shops,,#5 of 6 Shopping in Fernie,,,< 1 hour
Domaine Rochette Winery,,Wineries & Vineyards,,#13 of 13 things to do in North Saanich,,,
North Pacific Cannery National Historic Site,4.5,Speciality Museums • Historic Sites • History Museums,313,#1 of 5 things to do in Port Edward,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0c/4e/d2/74/photo0jpg.jpg),,
Long Beach,4.5,Beaches,"1,243",#4 of 42 things to do in Tofino,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1b/36/9a/06/photo3jpg.jpg),"Long Beach, the longest beach of Pacific Rim National Park Reserve, spans an extraordinary 16km (10mi) along the west coast of Vancouver Island. Described by locals to be magical, you will be astonished by the amount of life that call the tidal pools home. You will be sure to find crabs, shells, starfish, sea urchins and much more. As the surf comes crashing in, you will find surfers from around the world carving through the peaks of the waves. As the water settles, it gracefully rides up the beach with peaceful trickles and shimmering light from the breathtaking sunset crossing the colourful horizon. Long Beach is truly a rejunivating getaway for all ages. Whether you're looking to kickback, explore, adventure, hike, surf, or just take one of those long walks on the beach, Long Beach has it all.",
Covert Farms Family Estate,5.0,Wineries & Vineyards • Farms,223,#2 of 53 things to do in Oliver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0f/f9/02/22/farm-tours-in-our-1952.jpg),"Established in 1959, Covert Farms Family Estate Winery is located in Oliver, BC on 650 acres of benchland. Winemaker Gene Covert is a 3rd generation farmer who worked this land with his father and grandfather. Our certified organic estate vineyards are influenced by the majestic McIntyre Bluff and managed with biodynamic practices. We craft our estate wines with minimal intervention, using natural fermentation when possible to focus on vineyard and fruit. Our white wines display purity of fruit and a crisp natural acidity coveted by growers, and low yields result in terroir-focused artisan reds that are luscious and age-worthy. Those who love recreation dually appreciate our location at the gateway to the iconic Okanagan landmark McIntyre Bluff, which makes a great place to picnic, bike ride or hike. Secrest Organics at Covert Farms operates our seasonal fruit & vegetable stand, and visitors can get their hands dirty in the u-pick section - selecting ripe produce under the summer sun.",2-3 hours
32 Vedder River Rotary Trail,4.5,Hiking Trails,259,#1 of 48 things to do in Chilliwack,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/0e/6b/9b/15/along-the-rivercalm-beautifulv.jpg),,
Miracle Beach Provincial Park,4.5,Parks,171,#5 of 30 things to do in Courtenay,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/18/56/31/d2/20190712-201543-largejpg.jpg),"Miracle Beach Provincial Park is a popular oceanside family campground with a popular day-use and beach, conveniently located 22 km north of Courtenay and 22 km south of Campbell River off Hwy 19a. It makes a great home-base while visiting the popular Comox Valley, Campbell River, or for those looking to ferry to nearby islands. Visitors can also find horseback riding, golf, fishing and many other recreational activities in the area. The large family campground is world-renowned and offers 201 non-serviced campsites located under a dense forest canopy. Campers have three flush washroom buildings in the campground as well as a large shower building. Water taps and pit toilets are located throughout the campground. There is also an RV sani-station available to empty waste tanks and to refill water tanks. Campsite reservations are accepted and some first-come first-serve sites are also available.",
BC Aviation Museum,4.5,Speciality Museums,181,#1 of 22 things to do in Sidney,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0c/b9/95/3d/bc-aviation-museum.jpg),"Come enjoy a trip back in time with the whole family, with over 20 aircraft on display in Sidney, at The BC Aviation Museum! Where learning and fun meet! Memorable visitor experiences include: • Sit in the cockpit of a warplane. • Discover the history of our valiant Canadian aviation pioneers with our passionate tour guides or on a self-guided visit. We’ve been collecting and preserving 8,000+ aviation books, 13,500+ photographs. Don't miss our gift shop - the perfect place to find aviation themed gifts. Come explore the BC Aviation Museum in Sidney, located near the Victoria International Airport.",1-2 hours
Takakkaw Falls,4.5,Waterfalls,889,#2 of 19 things to do in Yoho National Park,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/14/4f/7b/fc/takakkaw-falls.jpg),"The falls, in the northern half of Yoho park, drop 833 ft -- making it one of the highest waterfalls in Canada. The falls are spectacular in early summer, when melting snow and ice provide ample runoff.",1-2 hours
Cheakamus Lake Trail,4.5,Hiking Trails,88,#19 of 65 things to do in Whistler,background-image:url(https://media-cdn.tripadvisor.com/media/photo-c/768x250/06/58/59/11/cheakamus-lake-trail.jpg),,
Wells Gray Provincial Park,4.5,Parks • Waterfalls,752,#3 of 16 things to do in Clearwater,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/03/ca/86/1d/wells-gray-provincial.jpg),"This large scenic park and wilderness area contains five major lakes, two river systems, many small lakes, streams, waterfalls and rapids, which make this an outdoor recreation paradise.",
Shuswap Lake,4.5,Bodies of Water,205,#2 of 46 things to do in Salmon Arm,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/11/97/4c/61/shuswap.jpg),,
Planet Bee Honey Farm & Meadery,4.5,Farms,520,#3 of 36 things to do in Vernon,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/14/aa/2d/0f/welcome-to-planet-bee.jpg),"Planet Bee Honey Farm & Honeymoon Meadery offers a glimpse into the amazing and fascinating world of the honey bee and all the products a beehive offers. Admission is free, we look forward to welcoming you into our safe & friendly 'hive' on your next visit! Thank you for your understanding. *COVID-19 modifications to service: masks are mandatory to enter and honey tastings are temporarily suspended. Max. store capacity is 50 persons. Please sanitize your hands upon entry and stay home if you feel unwell.",< 1 hour
Mission Hill Family Estate Winery,4.5,Wineries & Vineyards,"1,217",#1 of 34 things to do in West Kelowna,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0f/6a/45/d1/photo6jpg.jpg),"Located in the heart of British Columbia's Okanagan Valley, Mission Hill Family Estate is world renowned for its award winning wines, stunning setting and architecture, and Terrace Restaurant. Majestic mountains, a scenic lake and lush orchards encase the winery's dramatic architecture and combine to create a setting that celebrates wine, food and the arts. With organic viticultural practices that ensure care for the environment, and a timelessness that respects the family's European heritage, the winery is a refuge from the hurried pace of daily life. Visitors can Sample fine wines, marvel at the vista and reflect on a process that's almost as old as time itself.",1-2 hours
Lakeside Park,4.5,Parks,210,#1 of 22 things to do in Nelson,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/14/36/d5/9d/lakeside-park.jpg),,
Lighthouse Park,4.5,Lighthouses • Parks,449,#2 of 27 things to do in West Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/17/d6/64/d8/img-20190424-164625-largejpg.jpg),"Named for the Point Atkinson Lighthouse located on its grounds, this coastal and rugged park is popular for day hikes. A beautiful old growth temperate rainforest along Burrard Inlet offers several easy walking trails with beautiful panoramic views.",< 1 hour
Mount Robson Provincial Park and Protected Area,4.5,State Parks,224,"#75 of 3,961 things to do in British Columbia",background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0d/5e/69/0b/mount-robson-provincial.jpg),"Mount Robson Provincial Park and Protected Area features 3 campgrounds (Meadows, Rivers, and Lucerne), a beautiful newly redesigned Visitor Centre, the world famous Berg Lake Trail, and countless hikes, rivers, waterfalls, lakes, and mountains in the Rocky Mountains. Part of the Rocky Mountain World UNESCO Heritage site, Mount Robson is located on Hwy 16 between Tete Jaune Cache and Jasper National Park.",More than 3 hours
East Sooke Regional Park,5.0,Nature & Wildlife Areas • Parks,271,#1 of 20 things to do in Sooke,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/10/4d/1a/67/east-sooke-regional-park.jpg),,
Golden Ears Provincial Park,4.5,State Parks,347,#1 of 19 things to do in Maple Ridge,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/11/1f/5d/7d/20171027-133224-largejpg.jpg),,
