restaurant_name,rating,num_reviews,rank_in_city,cost,categories
Sun Sui Wah Chinese,4.0 of 5 bubbles,204,"#22, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Seafood,Asian"
Italian Tomato,4.0 of 5 bubbles,394,"#8, of 679 Restaurants in Richmond",$$ - $$$,"Italian,Pizza,Vegetarian Friendly"
Davood's Bistro,4.5 of 5 bubbles,25,"#65, of 679 Restaurants in Richmond",$$ - $$$,"Cafe,Canadian,Vegetarian Friendly"
Britannia Brewing Company & Britannia Steveston,4.5 of 5 bubbles,35,"#53, of 679 Restaurants in Richmond",$$ - $$$,"American,Brew Pub,Bar"
Kfc,4.0 of 5 bubbles,4,"#342, of 679 Restaurants in Richmond",,American
Pita Pit,1.0 of 5 bubbles,1,"#113, of 118 Restaurants in Delta",$$ - $$$,Fast food
Freshslice Pizza,3.5 of 5 bubbles,9,"#290, of 679 Restaurants in Richmond",$,Pizza
Uncle Buck's Fishbowl & Grill,2.5 of 5 bubbles,127,"#34, of 34 Restaurants in Tsawwassen",$$ - $$$,"American,Bar,Seafood"
Tino's Pizza,4.0 of 5 bubbles,25,"#292, of 679 Restaurants in Richmond",$$ - $$$,"Italian,Pizza,Canadian"
Blenz Coffee,3.5 of 5 bubbles,3,"#404, of 679 Restaurants in Richmond",,Cafe
Subway,3.5 of 5 bubbles,3,"#402, of 679 Restaurants in Richmond",,"American,Deli"
The Porthole,5.0 of 5 bubbles,9,"#121, of 679 Restaurants in Richmond",$$ - $$$,"Wine Bar,Canadian"
Lotus The Place for Pho Lovers,4.5 of 5 bubbles,39,"#44, of 679 Restaurants in Richmond",$$ - $$$,"Asian,Vietnamese,Soups"
Dairy Queen Grill & Chill,4.0 of 5 bubbles,4,"#411, of 679 Restaurants in Richmond",,
Tugboat Annie's Pub,3.5 of 5 bubbles,34,"#161, of 679 Restaurants in Richmond",$$ - $$$,"Bar,Seafood,Pub"
Wok 'N Roll Restaurant,2.0 of 5 bubbles,11,"#115, of 118 Restaurants in Delta",$,Chinese
Sushi Aria Japanese Restaurant,4.0 of 5 bubbles,4,"#310, of 679 Restaurants in Richmond",,
Little Caesars,4.0 of 5 bubbles,3,"#341, of 679 Restaurants in Richmond",,Pizza
The Buck and Ear Pub and Grill,4.0 of 5 bubbles,75,"#76, of 679 Restaurants in Richmond",$$ - $$$,"Bar,Pub,Canadian"
Old Surrey Restaurant,4.5 of 5 bubbles,359,"#1, of 668 Restaurants in Surrey",$$$$,"French,Vegetarian Friendly,Gluten Free Options"
The Pita Pit,4.5 of 5 bubbles,6,"#280, of 679 Restaurants in Richmond",,"Greek,Canadian"
O'Hares,4.0 of 5 bubbles,54,"#118, of 679 Restaurants in Richmond",$$ - $$$,"Irish,Bar,Pub"
A&W Restaurant,4.0 of 5 bubbles,6,"#283, of 679 Restaurants in Richmond",,"American,Fast food"
Roland's,4.0 of 5 bubbles,43,"#102, of 133 Restaurants in Whistler",$$ - $$$,"Bar,Barbecue,Pub"
Al Basha,4.5 of 5 bubbles,4,"#255, of 679 Restaurants in Richmond",,
Pizza Hut Ladner,2.0 of 5 bubbles,4,"#14, of 14 Restaurants in Ladner",$,Pizza
John3:16 Malaysian Delights,4.0 of 5 bubbles,37,"#72, of 679 Restaurants in Richmond",$$ - $$$,"Asian,Malaysian"
The Steveston Cafe & Hotel,4.0 of 5 bubbles,49,"#71, of 679 Restaurants in Richmond",$$ - $$$,"Cafe,Canadian,Vegetarian Friendly"
Village Curry & Spice,5.0 of 5 bubbles,4,"#170, of 679 Restaurants in Richmond",$$ - $$$,Indian
Bean Beyond Cafe,5.0 of 5 bubbles,8,"#185, of 679 Restaurants in Richmond",$,
Daddys Delight Pizza,4.5 of 5 bubbles,21,"#66, of 679 Restaurants in Richmond",$,"Middle Eastern,Persian,Halal"
Takeya Sushi Japanese Restaurant,4.5 of 5 bubbles,36,"#41, of 679 Restaurants in Richmond",$$ - $$$,"Japanese,Sushi,Asian"
The Deck Kitchen + Bar,4.0 of 5 bubbles,113,"#18, of 679 Restaurants in Richmond",$$ - $$$,"Bar,Canadian,Vegetarian Friendly"
The Cannery Cafe,3.5 of 5 bubbles,62,"#148, of 679 Restaurants in Richmond",$$ - $$$,"Cafe,Canadian,Vegetarian Friendly"
Baan Lao Fine Thai Cuisine,5.0 of 5 bubbles,2,"#271, of 679 Restaurants in Richmond",,Thai
Pho Lan Beef Noodle Soup Restaurant,4.0 of 5 bubbles,30,"#125, of 679 Restaurants in Richmond",$,"Asian,Vietnamese,Soups"
Empire Seafood Restaurant,3.5 of 5 bubbles,104,"#73, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Seafood,Asian"
L. A. Grill and Bistro,3.5 of 5 bubbles,94,"#106, of 679 Restaurants in Richmond",$,"American,Canadian"
Hooked Fish Bar,4.0 of 5 bubbles,130,"#13, of 668 Restaurants in Surrey",$$ - $$$,"Bar,Seafood,Canadian"
Tokyo Joe's Sushi Factory,4.0 of 5 bubbles,54,"#70, of 679 Restaurants in Richmond",$,"Japanese,Sushi,Vegetarian Friendly"
Banzai Sushi House Ltd,4.0 of 5 bubbles,42,"#79, of 679 Restaurants in Richmond",$,"Japanese,Sushi,Asian"
Pizza Pizza,1.5 of 5 bubbles,3,"#116, of 118 Restaurants in Delta",,
Yokohama Japanese Restaurant,4.0 of 5 bubbles,120,"#158, of 679 Restaurants in Richmond",$$ - $$$,"Japanese,Sushi,Asian"
D Original Sausage Haus,4.5 of 5 bubbles,10,"#133, of 679 Restaurants in Richmond",,Deli
Pierside deli,4.0 of 5 bubbles,25,"#129, of 679 Restaurants in Richmond",$,"Cafe,Fast food,Canadian"
Happy Date,4.0 of 5 bubbles,14,"#189, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Cantonese"
Rehanah's Roti & Trinidadian,4.5 of 5 bubbles,38,"#12, of 58 Restaurants in Port Moody",$,"Caribbean,Vegan Options"
Kuroki Sushi Bar and Kitchen,5.0 of 5 bubbles,3,"#265, of 679 Restaurants in Richmond",,Japanese
Xyclo Bistro,4.0 of 5 bubbles,28,"#145, of 679 Restaurants in Richmond",$,"Asian,Vietnamese,Soups"
Sanbo Restaurant,4.0 of 5 bubbles,24,"#136, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Seafood,Asian"
G-men Ramen Shop,4.0 of 5 bubbles,38,"#68, of 679 Restaurants in Richmond",$,"Japanese,Asian"
Purpose Smoothie Co.,5.0 of 5 bubbles,2,"#295, of 679 Restaurants in Richmond",,Healthy
No. 9 Restaurant,3.5 of 5 bubbles,153,"#77, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Cantonese"
Pepper Lunch,4.0 of 5 bubbles,41,"#103, of 679 Restaurants in Richmond",$$ - $$$,"Japanese,Asian"
Sura Korean Bbq Restaurant Richmond,4.0 of 5 bubbles,71,"#32, of 679 Restaurants in Richmond",$$ - $$$,"Barbecue,Asian,Korean"
Nozomi Sushi,4.5 of 5 bubbles,8,"#246, of 679 Restaurants in Richmond",$$ - $$$,
The Crab King,3.5 of 5 bubbles,73,"#205, of 679 Restaurants in Richmond",$$ - $$$,Seafood
the apron,4.0 of 5 bubbles,81,"#26, of 679 Restaurants in Richmond",$$ - $$$,"International,Canadian,Vegetarian Friendly"
Little Mexico Cantina,3.5 of 5 bubbles,113,"#119, of 679 Restaurants in Richmond",$$ - $$$,"Mexican,Vegetarian Friendly"
4 Stones Vegetarian Cuisine,4.0 of 5 bubbles,53,"#88, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Taiwanese"
La Cucina Piccolo,3.5 of 5 bubbles,14,"#222, of 679 Restaurants in Richmond",$$ - $$$,"Italian,Seafood,Mediterranean"
Samsoonie Noodle & Rice,4.0 of 5 bubbles,24,"#104, of 679 Restaurants in Richmond",$,"Asian,Korean"
Bamboo Express,4.0 of 5 bubbles,21,"#166, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Cantonese"
Damien's Belgian Waffles,4.5 of 5 bubbles,11,"#209, of 679 Restaurants in Richmond",$,
Afghan Chopan Bakery & Diner,4.0 of 5 bubbles,21,"#140, of 679 Restaurants in Richmond",$$ - $$$,"Middle Eastern,Afghani,Vegetarian Friendly"
Su Hang Restaurant,4.5 of 5 bubbles,26,"#91, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Soups"
Blue Duck Cafe,4.0 of 5 bubbles,3,"#387, of 679 Restaurants in Richmond",,Cafe
Chen's Shanghai Restaurant,3.5 of 5 bubbles,19,"#272, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Shanghai"
Silkway Halal Cuisine,4.0 of 5 bubbles,10,"#178, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Canadian,Halal"
Redbud Restaurant,3.5 of 5 bubbles,10,"#500, of 679 Restaurants in Richmond",$$ - $$$,
Wo Fung Noodle Express,4.0 of 5 bubbles,6,"#287, of 679 Restaurants in Richmond",,Asian
Cacao 70 Dip Shop,5.0 of 5 bubbles,1,"#416, of 679 Restaurants in Richmond",,Canadian
Pho An Nam,3.5 of 5 bubbles,13,"#276, of 679 Restaurants in Richmond",$,"Asian,Vietnamese"
Pho 99 Vietnamse Noodle House,4.0 of 5 bubbles,29,"#96, of 679 Restaurants in Richmond",$,"Asian,Vietnamese,Soups"
Tsim Chai Noodle Restaurant,3.5 of 5 bubbles,36,"#151, of 679 Restaurants in Richmond",$,"Chinese,Asian,Cantonese"
Newton Beef Noodle House,4.5 of 5 bubbles,9,"#169, of 679 Restaurants in Richmond",,"Chinese,Asian,Taiwanese"
Alley BBQ Restaurant,5.0 of 5 bubbles,10,"#122, of 679 Restaurants in Richmond",$$$$,"Japanese,Barbecue"
Freshslice Pizza,5.0 of 5 bubbles,1,"#367, of 679 Restaurants in Richmond",,Canadian
Wing Kee Restaurant,3.0 of 5 bubbles,30,"#425, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Cantonese"
Afghan Chopan Bakery & Diner,4.0 of 5 bubbles,9,"#224, of 679 Restaurants in Richmond",$$ - $$$,"Middle Eastern,Afghani"
Garden City Hot Pot,4.5 of 5 bubbles,29,"#64, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Cantonese"
Pizza Factory,3.5 of 5 bubbles,12,"#327, of 679 Restaurants in Richmond",$$ - $$$,Pizza
Bamboo Grove Restaurant,3.5 of 5 bubbles,20,"#273, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Cantonese"
IHOP,3.5 of 5 bubbles,47,"#241, of 679 Restaurants in Richmond",$$ - $$$,"American,Diner,Canadian"
Kiyo Sushi,4.0 of 5 bubbles,34,"#108, of 679 Restaurants in Richmond",$$ - $$$,"Japanese,Sushi,Asian"
Best Bite Indian Cuisine,4.0 of 5 bubbles,4,"#323, of 679 Restaurants in Richmond",$$ - $$$,Indian
Wo Fung Noodle House,4.0 of 5 bubbles,2,"#429, of 679 Restaurants in Richmond",,
CoM Vietnamese,4.5 of 5 bubbles,14,"#107, of 679 Restaurants in Richmond",$$ - $$$,"Asian,Vietnamese,Diner"
Szechuan Delicious Restaurant,3.5 of 5 bubbles,8,"#345, of 679 Restaurants in Richmond",$$ - $$$,Chinese
Speciality Chicken & Wonton House,4.0 of 5 bubbles,18,"#172, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Cantonese"
Origo Club,4.5 of 5 bubbles,14,"#83, of 679 Restaurants in Richmond",$$$$,"French,European,Canadian"
Pokey Okey,4.0 of 5 bubbles,3,"#321, of 679 Restaurants in Richmond",,Hawaiian
Subway,3.0 of 5 bubbles,6,"#529, of 679 Restaurants in Richmond",$,Deli
Xian Cuisine,4.5 of 5 bubbles,7,"#232, of 679 Restaurants in Richmond",,"Chinese,Asian"
Red Star Restaurant,4.0 of 5 bubbles,75,"#51, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Seafood,Asian"
Dairy Queen Grill & Chill,4.5 of 5 bubbles,2,"#347, of 679 Restaurants in Richmond",,
Legends,4.0 of 5 bubbles,9,"#349, of 679 Restaurants in Richmond",$$ - $$$,Canadian
Timmy Kitchen,3.0 of 5 bubbles,18,"#596, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian"
Bayview Restaurant,3.0 of 5 bubbles,2,"#551, of 679 Restaurants in Richmond",,
Top Shanghai,3.5 of 5 bubbles,56,"#168, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Shanghai"
The Butler Did It Cafe,4.0 of 5 bubbles,3,"#361, of 679 Restaurants in Richmond",,
G-Men Ramen,3.5 of 5 bubbles,5,"#508, of 679 Restaurants in Richmond",,Japanese
Happy Break Cafe,4.0 of 5 bubbles,1,"#510, of 679 Restaurants in Richmond",,Cafe
Goodbowl,4.5 of 5 bubbles,9,"#138, of 679 Restaurants in Richmond",$,International
Sugar Art,5.0 of 5 bubbles,1,"#506, of 679 Restaurants in Richmond",,French
M Sushi Bar,3.0 of 5 bubbles,3,"#601, of 679 Restaurants in Richmond",,
Ocean Empires Restaurant,4.0 of 5 bubbles,1,"#487, of 679 Restaurants in Richmond",,
